row_number, computation, coverage
1,1680,120,
2,1680,120,
3,1680,112,
4,1680,112,
5,1680,80,
6,1680,80,
7,1680,60,
8,1680,57,
9,1680,45,
10,1680,48,
11,1680,34,
12,1680,26,
13,1680,29,
14,1680,18,
15,1680,9,
16,1680,4,
17,1680,4,
18,1680,2,
row_number, computation, coverage, status,1,2,3,4,5,6,7,8,9,10,
1,1680,120,FALSE,36, 36, 36, 36, 36, 36, 36, 36, 36, 36,
2,1680,120,FALSE,36, 36, 36, 36, 36, 36, 36, 36, 36, 36,
3,1680,112,FALSE,33, 33, 36, 33, 33, 36, 33, 33, 33, 33,
4,1680,112,FALSE,33, 33, 36, 33, 33, 36, 33, 33, 33, 33,
5,1680,80,FALSE,24, 24, 24, 24, 24, 24, 24, 24, 24, 24,
6,1680,80,FALSE,24, 24, 24, 24, 24, 24, 24, 24, 24, 24,
7,1680,72,FALSE,21, 21, 21, 24, 21, 21, 24, 21, 21, 21,
8,1680,72,FALSE,21, 21, 21, 24, 21, 21, 24, 21, 21, 21,
9,1680,41,FALSE,13, 9, 13, 9, 13, 13, 9, 13, 18, 13,
10,1680,41,FALSE,13, 9, 9, 13, 13, 9, 13, 13, 18, 13,
11,1680,32,FALSE,8, 18, 7, 12, 8, 7, 12, 8, 8, 8,
12,1680,30,FALSE,10, 8, 9, 6, 10, 9, 6, 10, 12, 10,
13,1680,20,FALSE,5, 8, 7, 5, 8, 7, 5, 5, 2, 8,
14,1680,12,FALSE,7, 2, 3, 2, 4, 3, 2, 7, 2, 4,
15,1680,8,FALSE,2, 4, 3, 3, 2, 3, 3, 2, 0, 2,
16,1680,5,FALSE,2, 2, 2, 3, 1, 1, 2, 1, 0, 1,
17,1680,3,FALSE,0, 0, 1, 1, 1, 2, 2, 1, 0, 1,
