row_number, computation, coverage
1,4200,35,
2,4200,35,
3,4200,35,
4,4200,35,
5,4200,35,
6,4200,35,
7,4200,35,
8,4200,35,
9,4200,35,
10,4200,35,
11,4200,35,
12,4200,35,
13,4200,35,
14,4200,35,
15,4200,35,
16,4200,35,
17,4200,34,
18,4200,34,
19,4200,34,
20,4200,34,
21,4200,34,
22,4200,34,
23,4200,33,
24,4200,34,
25,4200,34,
26,4200,34,
27,4200,32,
28,4200,31,
29,4200,33,
30,4200,31,
31,4200,31,
32,4200,29,
33,4200,31,
34,4200,31,
35,4200,29,
36,4200,29,
37,4200,31,
38,4200,30,
39,4200,25,
40,4200,30,
41,4200,31,
42,4200,27,
43,4200,27,
44,4200,28,
45,4200,29,
46,4200,24,
47,4200,26,
48,4200,29,
49,4200,26,
50,4200,28,
51,4200,30,
52,4200,26,
53,4200,29,
54,4200,25,
55,4200,24,
56,4200,24,
57,4200,22,
58,4200,21,
59,4200,23,
60,4200,24,
61,4200,23,
62,4200,23,
63,4200,20,
64,4200,20,
65,4200,23,
66,4200,19,
67,4200,23,
68,4200,18,
69,4200,19,
70,4200,19,
71,4200,20,
72,4200,16,
73,4200,21,
74,4200,19,
75,4200,21,
76,4200,17,
77,4200,17,
78,4200,16,
79,4200,16,
80,4200,18,
81,4200,16,
82,4200,17,
83,4200,16,
84,4200,14,
85,4200,19,
86,4200,15,
87,4200,12,
88,4200,14,
89,4200,17,
90,4200,14,
91,4200,12,
92,4200,10,
93,4200,12,
94,4200,12,
95,4200,11,
96,4200,11,
97,4200,14,
98,4200,12,
99,4200,12,
100,4200,10,
101,4200,9,
102,4200,9,
103,4200,10,
104,4200,11,
105,4200,13,
106,4200,9,
107,4200,7,
108,4200,7,
109,4200,10,
110,4200,9,
111,4200,7,
112,4200,10,
113,4200,10,
114,4200,8,
115,4200,7,
116,4200,6,
117,4200,7,
118,4200,7,
119,4200,7,
120,4200,7,
121,4200,6,
122,4200,5,
123,4200,6,
124,4200,9,
125,4200,6,
126,4200,7,
127,4200,7,
128,4200,3,
129,4200,7,
130,4200,6,
131,4200,4,
132,4200,3,
133,4200,4,
134,4200,3,
135,4200,6,
136,4200,5,
137,4200,4,
138,4200,4,
139,4200,3,
140,4200,3,
141,4200,5,
142,4200,3,
143,4200,5,
144,4200,3,
145,4200,3,
146,4200,4,
147,4200,2,
148,4200,3,
149,4200,2,
150,4200,2,
151,4200,3,
152,4200,2,
153,4200,3,
154,4200,2,
155,4200,1,
156,4200,3,
157,4200,1,
158,4200,1,
159,4200,1,
160,4200,1,
161,4200,2,
162,4200,2,
163,4200,2,
164,4200,1,
165,4200,1,
166,4200,1,
167,4200,1,
168,4200,1,
