row_number, computation, coverage, status,1,2,3,4,5,6,7,8,9,10,
1,0,252,true,126, 126, 126, 126, 126, 126, 126, 126, 126, 126,
2,0,251,true,126, 125, 125, 126, 125, 125, 125, 126, 126, 126,
3,0,251,true,126, 126, 126, 126, 126, 125, 125, 125, 125, 125,
4,0,252,true,126, 126, 126, 126, 126, 126, 126, 126, 126, 126,
5,0,246,true,121, 126, 121, 121, 121, 121, 126, 126, 126, 121,
6,0,243,true,120, 119, 120, 119, 125, 119, 125, 123, 121, 124,
7,0,252,true,126, 126, 126, 126, 126, 126, 126, 126, 126, 126,
8,0,251,true,126, 125, 125, 125, 125, 125, 126, 126, 126, 126,
9,0,250,true,125, 126, 125, 124, 125, 125, 125, 125, 125, 125,
10,0,242,true,117, 124, 119, 118, 124, 125, 120, 120, 119, 124,
11,0,249,true,126, 123, 123, 126, 123, 124, 125, 125, 125, 125,
12,0,250,true,125, 126, 126, 125, 126, 125, 125, 124, 124, 124,
13,0,245,true,121, 120, 126, 125, 126, 120, 125, 120, 121, 121,
14,0,240,true,126, 121, 121, 121, 116, 116, 121, 121, 116, 121,
15,0,244,true,119, 125, 125, 120, 120, 125, 125, 121, 120, 120,
16,0,248,true,125, 123, 122, 123, 125, 123, 125, 125, 125, 124,
17,0,237,true,115, 119, 119, 114, 115, 120, 115, 124, 121, 123,
18,0,240,true,117, 119, 117, 124, 124, 122, 116, 120, 124, 117,
19,0,238,true,119, 120, 121, 120, 115, 120, 121, 119, 120, 115,
20,0,232,true,116, 115, 115, 114, 120, 116, 114, 115, 115, 120,
21,0,234,true,120, 118, 115, 118, 118, 118, 121, 113, 118, 111,
22,0,240,true,121, 121, 121, 121, 121, 121, 116, 121, 121, 116,
23,0,237,true,120, 119, 115, 120, 114, 118, 120, 119, 121, 119,
24,0,228,true,113, 117, 114, 120, 112, 117, 114, 110, 112, 111,
25,0,230,true,109, 115, 118, 117, 114, 120, 110, 119, 115, 113,
26,0,236,true,118, 119, 119, 120, 118, 119, 114, 113, 120, 120,
27,0,239,true,125, 120, 116, 116, 120, 121, 116, 121, 120, 120,
28,0,229,true,120, 114, 110, 112, 108, 119, 122, 114, 113, 113,
29,0,245,true,124, 123, 122, 120, 124, 121, 123, 123, 123, 122,
30,0,241,true,123, 117, 123, 118, 118, 124, 120, 123, 118, 121,
31,0,226,true,110, 123, 108, 124, 106, 121, 110, 109, 109, 110,
32,0,236,true,121, 120, 116, 114, 118, 116, 122, 116, 116, 121,
33,0,224,true,106, 114, 104, 122, 113, 122, 110, 113, 107, 109,
34,0,217,true,106, 102, 103, 100, 122, 118, 106, 103, 122, 103,
35,0,221,true,111, 106, 110, 106, 116, 105, 110, 115, 110, 116,
36,0,225,true,116, 113, 113, 116, 113, 118, 109, 103, 109, 115,
37,0,227,true,119, 119, 118, 117, 106, 106, 118, 108, 112, 112,
38,0,220,true,114, 112, 112, 106, 107, 106, 113, 109, 109, 112,
39,0,227,true,115, 117, 111, 109, 105, 111, 118, 118, 118, 113,
40,0,221,true,117, 111, 111, 103, 109, 114, 108, 102, 113, 117,
41,0,212,true,105, 112, 108, 100, 116, 99, 99, 117, 106, 98,
42,0,207,true,109, 97, 100, 98, 98, 117, 99, 101, 103, 113,
