row_number, computation, coverage
1,942084774,126,
2,934384914,126,
3,926716806,126,
4,918836424,126,
5,911438397,126,
6,903634020,126,
7,896295430,126,
8,888529765,126,
9,881052169,126,
10,873581605,126,
11,866159289,126,
12,858756424,126,
13,851381272,126,
14,844037944,126,
15,836726440,126,
16,829418884,126,
17,822223180,126,
18,814958937,126,
19,807754564,126,
20,800610192,126,
21,793501605,126,
22,786400848,126,
23,779343912,126,
24,772318800,126,
25,765368361,125,
26,758403257,126,
27,751485170,126,
28,744598853,125,
29,737743945,125,
30,730986570,126,
31,724095025,126,
32,717327874,124,
33,710759546,124,
34,704100698,124,
35,697525749,124,
36,690974122,124,
37,684457154,124,
38,677978530,124,
39,671497313,124,
40,665110045,124,
41,658705450,124,
42,652346521,124,
43,645967426,123,
44,639782609,124,
45,633494160,124,
46,627251209,122,
47,621156565,123,
48,615027906,122,
49,608982425,124,
50,602833410,121,
51,596950049,122,
52,590966116,122,
53,585012401,121,
54,579185545,122,
55,573315857,121,
56,567544356,122,
57,561716885,121,
58,555976810,119,
59,550342820,119,
60,544801841,120,
61,539161681,120,
62,533611205,117,
63,528217013,117,
64,522840250,119,
65,517393621,117,
66,512023185,118,
67,506701042,116,
68,501473386,117,
69,496280149,117,
70,491043082,118,
71,485841170,117,
72,480646877,119,
73,475428409,116,
74,470377637,112,
75,465525985,113,
76,460678597,117,
77,455627122,115,
78,450706797,115,
79,445853081,115,
80,440973712,114,
81,436220629,113,
82,431462125,111,
83,426878285,113,
84,422177193,109,
85,417748465,110,
86,413213652,108,
87,408860917,112,
88,404385997,114,
89,399773329,108,
90,395457380,108,
91,391129985,107,
92,386891658,110,
93,382539449,109,
94,378307333,107,
95,374127962,108,
96,369967138,107,
97,365944400,110,
98,361635700,108,
99,357581365,110,
100,353369888,107,
101,349383010,106,
102,345406721,105,
103,341541800,105,
104,337699001,108,
105,333665425,105,
106,329824100,104,
107,326105168,108,
108,322205600,110,
109,318176701,103,
110,314585594,104,
111,310864914,107,
112,307072097,104,
113,303396745,100,
114,299983505,99,
