row_number, computation, coverage
1,1873872,1716,
2,1873872,1716,
3,1873872,1716,
4,1873872,1716,
5,1873872,1716,
6,1873872,1716,
7,1873872,1716,
8,1873872,1716,
9,1873872,1716,
10,1873872,1716,
11,1873872,1716,
12,1873872,1716,
13,1873872,1716,
14,1873872,1716,
15,1873872,1716,
16,1873872,1715,
17,1873872,1716,
18,1873872,1715,
19,1873872,1715,
20,1873872,1715,
21,1873872,1714,
22,1873872,1715,
23,1873872,1713,
24,1873872,1712,
25,1873872,1713,
26,1873872,1712,
27,1873872,1715,
28,1873872,1714,
29,1873872,1713,
30,1873872,1714,
31,1873872,1713,
32,1873872,1712,
33,1873872,1709,
34,1873872,1710,
35,1873872,1707,
36,1873872,1709,
37,1873872,1707,
38,1873872,1706,
39,1873872,1707,
40,1873872,1702,
41,1873872,1710,
42,1873872,1706,
43,1873872,1701,
44,1873872,1700,
45,1873872,1701,
46,1873872,1698,
47,1873872,1702,
48,1873872,1693,
49,1873872,1702,
50,1873872,1693,
51,1873872,1695,
52,1873872,1692,
53,1873872,1686,
54,1873872,1687,
55,1873872,1696,
56,1873872,1702,
57,1873872,1690,
58,1873872,1689,
59,1873872,1690,
60,1873872,1671,
61,1873872,1678,
62,1873872,1690,
63,1873872,1687,
64,1873872,1682,
65,1873872,1687,
66,1873872,1683,
67,1873872,1696,
68,1873872,1668,
69,1873872,1679,
70,1873872,1686,
71,1873872,1681,
72,1873872,1659,
73,1873872,1689,
74,1873872,1675,
75,1873872,1674,
76,1873872,1672,
77,1873872,1663,
78,1873872,1687,
79,1873872,1654,
80,1873872,1669,
81,1873872,1676,
82,1873872,1662,
83,1873872,1669,
84,1873872,1633,
85,1873872,1677,
86,1873872,1658,
87,1873872,1645,
88,1873872,1639,
89,1873872,1646,
90,1873872,1662,
91,1873872,1639,
92,1873872,1653,
93,1873872,1671,
94,1873872,1642,
95,1873872,1626,
96,1873872,1656,
97,1873872,1637,
98,1873872,1635,
99,1873872,1628,
100,1873872,1662,
101,1873872,1633,
102,1873872,1617,
103,1873872,1627,
104,1873872,1652,
105,1873872,1623,
106,1873872,1641,
107,1873872,1624,
108,1873872,1655,
109,1873872,1621,
110,1873872,1602,
111,1873872,1634,
112,1873872,1624,
113,1873872,1615,
114,1873872,1626,
115,1873872,1630,
116,1873872,1626,
117,1873872,1599,
118,1873872,1634,
119,1873872,1604,
120,1873872,1599,
121,1873872,1627,
122,1873872,1612,
123,1873872,1610,
124,1873872,1629,
125,1873872,1618,
126,1873872,1610,
127,1873872,1619,
128,1873872,1607,
129,1873872,1594,
130,1873872,1620,
131,1873872,1604,
132,1873872,1613,
133,1873872,1596,
134,1873872,1625,
135,1873872,1567,
136,1873872,1601,
137,1873872,1599,
138,1873872,1583,
139,1873872,1586,
140,1873872,1602,
141,1873872,1575,
142,1873872,1577,
143,1873872,1600,
144,1873872,1580,
145,1873872,1529,
146,1873872,1582,
147,1873872,1562,
148,1873872,1603,
149,1873872,1578,
150,1873872,1579,
151,1873872,1573,
152,1873872,1591,
153,1873872,1564,
154,1873872,1549,
155,1873872,1562,
156,1873872,1577,
157,1873872,1577,
158,1873872,1572,
159,1873872,1575,
160,1873872,1526,
161,1873872,1558,
162,1873872,1537,
163,1873872,1577,
164,1873872,1534,
165,1873872,1549,
166,1873872,1531,
167,1873872,1525,
168,1873872,1546,
169,1873872,1501,
170,1873872,1505,
171,1873872,1530,
172,1873872,1517,
173,1873872,1547,
174,1873872,1551,
175,1873872,1476,
176,1873872,1547,
177,1873872,1509,
178,1873872,1537,
179,1873872,1468,
180,1873872,1547,
181,1873872,1520,
182,1873872,1515,
183,1873872,1542,
184,1873872,1518,
185,1873872,1463,
186,1873872,1532,
187,1873872,1505,
188,1873872,1540,
189,1873872,1477,
190,1873872,1496,
191,1873872,1487,
192,1873872,1501,
193,1873872,1496,
194,1873872,1513,
195,1873872,1486,
196,1873872,1495,
197,1873872,1467,
198,1873872,1481,
199,1873872,1479,
200,1873872,1479,
201,1873872,1497,
202,1873872,1494,
203,1873872,1490,
204,1873872,1481,
205,1873872,1482,
206,1873872,1476,
207,1873872,1495,
208,1873872,1442,
209,1873872,1464,
210,1873872,1486,
211,1873872,1501,
212,1873872,1460,
213,1873872,1433,
214,1873872,1476,
215,1873872,1487,
216,1873872,1515,
217,1873872,1452,
218,1873872,1422,
219,1873872,1505,
220,1873872,1490,
221,1873872,1460,
222,1873872,1452,
223,1873872,1428,
224,1873872,1436,
225,1873872,1454,
226,1873872,1441,
227,1873872,1450,
228,1873872,1435,
229,1873872,1393,
230,1873872,1482,
231,1873872,1440,
232,1873872,1447,
233,1873872,1422,
234,1873872,1471,
235,1873872,1489,
236,1873872,1418,
237,1873872,1420,
238,1873872,1397,
239,1873872,1421,
240,1873872,1399,
241,1873872,1377,
242,1873872,1394,
243,1873872,1350,
244,1873872,1367,
245,1873872,1421,
246,1873872,1416,
247,1873872,1432,
248,1873872,1387,
249,1873872,1395,
250,1873872,1458,
251,1873872,1431,
252,1873872,1382,
253,1873872,1410,
254,1873872,1415,
255,1873872,1391,
256,1873872,1401,
257,1873872,1364,
258,1873872,1378,
259,1873872,1388,
260,1873872,1342,
261,1873872,1371,
262,1873872,1368,
263,1873872,1358,
264,1873872,1352,
265,1873872,1341,
266,1873872,1379,
267,1873872,1401,
268,1873872,1358,
269,1873872,1364,
270,1873872,1373,
271,1873872,1330,
272,1873872,1363,
273,1873872,1370,
274,1873872,1343,
275,1873872,1393,
276,1873872,1345,
277,1873872,1365,
278,1873872,1384,
279,1873872,1380,
280,1873872,1352,
281,1873872,1346,
282,1873872,1326,
283,1873872,1327,
284,1873872,1355,
285,1873872,1375,
286,1873872,1393,
287,1873872,1384,
288,1873872,1311,
289,1873872,1331,
290,1873872,1293,
291,1873872,1308,
292,1873872,1403,
293,1873872,1266,
294,1873872,1317,
295,1873872,1303,
296,1873872,1321,
297,1873872,1374,
298,1873872,1376,
299,1873872,1401,
300,1873872,1274,
301,1873872,1302,
302,1873872,1313,
303,1873872,1366,
304,1873872,1290,
305,1873872,1355,
306,1873872,1319,
307,1873872,1296,
308,1873872,1290,
309,1873872,1314,
310,1873872,1352,
311,1873872,1268,
312,1873872,1262,
313,1873872,1308,
314,1873872,1338,
315,1873872,1316,
316,1873872,1289,
317,1873872,1287,
318,1873872,1249,
319,1873872,1306,
320,1873872,1269,
321,1873872,1378,
322,1873872,1204,
323,1873872,1366,
324,1873872,1263,
325,1873872,1293,
326,1873872,1228,
327,1873872,1241,
328,1873872,1281,
329,1873872,1258,
330,1873872,1225,
331,1873872,1221,
332,1873872,1247,
333,1873872,1244,
334,1873872,1330,
335,1873872,1318,
336,1873872,1166,
337,1873872,1241,
338,1873872,1235,
339,1873872,1229,
340,1873872,1273,
341,1873872,1228,
342,1873872,1301,
343,1873872,1197,
344,1873872,1259,
345,1873872,1304,
346,1873872,1185,
347,1873872,1215,
348,1873872,1258,
349,1873872,1231,
350,1873872,1244,
351,1873872,1195,
352,1873872,1231,
353,1873872,1166,
354,1873872,1273,
355,1873872,1192,
356,1873872,1250,
357,1873872,1214,
358,1873872,1222,
359,1873872,1244,
360,1873872,1232,
361,1873872,1251,
362,1873872,1159,
363,1873872,1243,
364,1873872,1241,
365,1873872,1173,
366,1873872,1197,
367,1873872,1224,
368,1873872,1185,
369,1873872,1175,
370,1873872,1196,
371,1873872,1201,
372,1873872,1237,
373,1873872,1154,
374,1873872,1147,
375,1873872,1232,
376,1873872,1183,
377,1873872,1194,
378,1873872,1177,
379,1873872,1189,
380,1873872,1229,
381,1873872,1219,
382,1873872,1242,
383,1873872,1224,
384,1873872,1205,
385,1873872,1196,
386,1873872,1141,
387,1873872,1178,
388,1873872,1164,
389,1873872,1156,
390,1873872,1203,
391,1873872,1151,
392,1873872,1224,
393,1873872,1186,
394,1873872,1110,
395,1873872,1148,
396,1873872,1142,
397,1873872,1157,
398,1873872,1150,
399,1873872,1109,
400,1873872,1164,
401,1873872,1089,
402,1873872,1242,
403,1873872,1180,
404,1873872,1263,
405,1873872,1092,
406,1873872,1163,
407,1873872,1097,
408,1873872,1140,
409,1873872,1142,
410,1873872,1080,
411,1873872,1062,
412,1873872,1162,
413,1873872,1138,
414,1873872,1165,
415,1873872,1091,
416,1873872,1165,
417,1873872,1090,
418,1873872,1134,
419,1873872,1120,
420,1873872,1117,
421,1873872,1127,
422,1873872,1065,
423,1873872,1084,
424,1873872,1127,
425,1873872,1126,
426,1873872,1173,
427,1873872,1101,
428,1873872,1141,
429,1873872,1112,
430,1873872,1138,
