row_number, computation, coverage
1,25200,210,
2,25200,210,
3,25200,210,
4,25200,210,
5,25200,210,
6,25200,210,
7,25200,210,
8,25200,209,
9,25200,209,
10,25200,207,
11,25200,203,
12,25200,207,
13,25200,206,
14,25200,205,
15,25200,206,
16,25200,204,
17,25200,202,
18,25200,203,
19,25200,196,
20,25200,200,
21,25200,194,
22,25200,199,
23,25200,192,
24,25200,193,
25,25200,187,
26,25200,178,
27,25200,183,
28,25200,180,
29,25200,183,
30,25200,188,
31,25200,169,
32,25200,176,
33,25200,162,
34,25200,167,
35,25200,170,
36,25200,153,
37,25200,158,
38,25200,170,
39,25200,161,
40,25200,153,
41,25200,167,
42,25200,147,
43,25200,159,
44,25200,157,
45,25200,150,
46,25200,152,
47,25200,149,
48,25200,136,
49,25200,133,
50,25200,140,
51,25200,140,
52,25200,137,
53,25200,121,
54,25200,144,
55,25200,126,
56,25200,130,
57,25200,137,
58,25200,129,
59,25200,117,
60,25200,123,
61,25200,126,
62,25200,115,
63,25200,104,
64,25200,124,
65,25200,134,
66,25200,111,
67,25200,113,
68,25200,115,
69,25200,114,
70,25200,120,
71,25200,109,
72,25200,107,
73,25200,100,
74,25200,91,
75,25200,97,
76,25200,100,
77,25200,101,
78,25200,99,
79,25200,96,
80,25200,81,
81,25200,100,
82,25200,95,
83,25200,79,
84,25200,90,
85,25200,79,
86,25200,84,
87,25200,98,
88,25200,84,
89,25200,84,
90,25200,79,
91,25200,74,
92,25200,81,
93,12385790,80,
94,11780182,76,
95,11252117,84,
96,10702403,79,
97,10172120,85,
98,9617066,76,
99,9155922,71,
100,8665326,69,
101,8258825,72,
102,7841273,69,
103,7459632,78,
104,7017688,67,
105,6644179,66,
106,6298214,62,
107,5969853,61,
108,5654350,67,
109,5381226,64,
110,5042430,55,
111,4800689,53,
112,4541923,54,
113,4316101,52,
114,4100506,52,
115,3879374,50,
116,3658398,48,
117,3485051,49,
118,3315000,51,
119,3090701,45,
120,2947097,45,
121,2776986,48,
122,2622553,45,
123,2448041,42,
124,2333213,38,
125,2221257,40,
126,2096057,38,
127,2007209,38,
128,1877669,39,
129,1791509,36,
130,1664750,33,
131,1589093,35,
132,1486950,35,
133,1410449,34,
134,1321269,31,
135,1244147,28,
136,1193061,36,
137,1104747,31,
138,1039528,31,
139,975070,30,
140,918242,33,
141,854536,28,
142,800330,25,
143,762897,27,
144,714269,25,
145,662571,26,
146,617933,24,
147,591099,26,
148,539099,22,
149,509222,22,
150,477877,25,
151,435894,21,
152,406931,19,
153,389833,24,
154,358056,20,
155,330950,19,
156,308610,21,
157,281496,19,
158,267017,18,
159,243434,16,
160,230358,17,
161,214292,15,
162,195890,14,
163,185721,16,
164,170134,15,
165,158346,13,
166,149451,13,
167,138525,14,
168,130041,14,
169,119373,12,
170,108302,14,
171,99893,12,
172,92953,14,
173,83564,13,
174,75204,13,
175,69149,11,
176,63162,10,
177,57082,10,
178,52585,11,
179,47844,12,
180,42863,10,
181,38737,7,
182,35042,8,
183,32333,8,
184,29195,8,
185,26710,8,
186,24366,7,
187,21336,7,
188,19475,6,
189,17986,8,
190,15903,8,
191,14386,8,
192,11564,6,
193,10555,5,
194,9756,6,
195,8369,6,
196,7473,7,
197,6106,6,
198,5030,5,
199,4440,5,
200,3947,4,
201,3247,5,
202,2617,5,
203,2211,5,
204,1665,4,
205,1378,4,
206,1104,3,
207,867,3,
208,717,4,
209,520,2,
210,417,3,
211,342,3,
212,261,3,
213,125,2,
214,85,2,
215,50,2,
216,25,1,
217,16,1,
218,9,1,
219,4,1,
220,1,1,
