row_number, computation, coverage
1,163800,1365,
2,163800,1365,
3,163800,1365,
4,163800,1365,
5,163800,1362,
6,163800,1354,
7,163800,1344,
8,163800,1343,
9,163800,1332,
10,163800,1318,
11,163800,1308,
12,163800,1320,
13,163800,1325,
14,163800,1305,
15,163800,1297,
16,163800,1303,
17,163800,1270,
18,163800,1280,
19,163800,1257,
20,163800,1266,
21,163800,1241,
22,163800,1189,
23,163800,1231,
24,163800,1231,
25,163800,1222,
26,163800,1176,
27,163800,1146,
28,163800,1155,
29,163800,1171,
30,163800,1158,
31,163800,1083,
32,163800,1095,
33,163800,1141,
34,163800,1067,
35,163800,1080,
36,163800,1085,
37,163800,1050,
38,163800,1053,
39,163800,1007,
40,163800,968,
41,163800,950,
42,163800,936,
43,163800,953,
44,163800,928,
45,163800,947,
46,163800,942,
47,163800,907,
48,163800,929,
49,163800,865,
50,163800,903,
51,163800,873,
52,163800,830,
53,163800,786,
54,163800,863,
55,163800,816,
56,163800,767,
57,163800,772,
58,163800,825,
59,163800,819,
60,163800,773,
61,163800,709,
62,163800,724,
63,163800,718,
64,163800,722,
65,163800,724,
66,163800,664,
67,163800,657,
68,163800,684,
69,163800,702,
70,163800,647,
71,163800,652,
72,163800,619,
73,163800,692,
74,163800,612,
75,163800,616,
76,163800,598,
77,163800,564,
78,163800,612,
79,163800,621,
80,163800,578,
81,163800,519,
82,163800,547,
83,163800,535,
84,163800,510,
85,163800,494,
86,163800,508,
87,163800,496,
88,163800,517,
89,163800,481,
90,163800,486,
91,163800,470,
92,163800,478,
93,163800,433,
94,163800,446,
95,163800,449,
96,163800,450,
97,163800,436,
98,163800,428,
99,163800,411,
100,163800,447,
101,163800,430,
102,163800,414,
103,163800,404,
104,163800,431,
105,163800,389,
106,163800,385,
107,163800,390,
108,163800,367,
109,163800,342,
110,163800,323,
111,163800,363,
112,163800,340,
113,163800,342,
114,163800,340,
115,163800,312,
116,163800,314,
117,163800,287,
118,163800,272,
119,163800,287,
120,163800,301,
121,163800,284,
122,163800,261,
123,163800,253,
124,163800,266,
125,163800,298,
126,163800,278,
127,163800,268,
128,163800,232,
129,163800,244,
130,163800,246,
131,163800,252,
132,163800,238,
133,163800,213,
134,163800,234,
135,163800,259,
136,163800,215,
137,163800,236,
138,163800,209,
139,163800,204,
140,163800,207,
141,163800,192,
142,163800,193,
143,163800,197,
144,163800,198,
145,163800,159,
146,163800,188,
147,163800,176,
148,163800,176,
149,163800,185,
150,163800,175,
151,163800,169,
152,163800,154,
153,163800,145,
154,163800,178,
155,163800,149,
156,163800,177,
157,163800,139,
158,163800,159,
159,163800,147,
160,163800,143,
161,163800,128,
162,163800,143,
163,163800,149,
164,163800,125,
165,163800,125,
166,163800,118,
167,163800,123,
168,163800,122,
169,163800,126,
170,163800,137,
171,163800,95,
172,163800,116,
173,163800,99,
174,163800,103,
175,163800,99,
176,163800,101,
177,163800,100,
178,163800,86,
179,163800,95,
180,163800,98,
181,163800,86,
182,163800,91,
183,163800,86,
184,163800,82,
185,163800,82,
186,163800,80,
187,163800,77,
188,163800,83,
189,163800,75,
190,163800,77,
191,163800,62,
192,163800,73,
193,163800,84,
194,163800,66,
195,163800,76,
196,163800,63,
197,163800,70,
198,163800,66,
199,163800,69,
200,163800,60,
201,163800,58,
202,163800,75,
203,163800,55,
204,163800,66,
205,163800,66,
206,163800,52,
207,163800,54,
208,163800,46,
209,163800,46,
210,163800,42,
211,163800,50,
212,163800,53,
213,163800,44,
214,163800,48,
215,163800,47,
216,163800,41,
217,163800,39,
218,163800,51,
219,163800,39,
220,163800,44,
221,163800,44,
222,163800,36,
223,163800,43,
224,163800,36,
225,163800,39,
226,163800,35,
227,163800,31,
228,163800,35,
229,163800,33,
230,163800,29,
231,163800,23,
232,163800,28,
233,163800,34,
234,163800,31,
235,163800,28,
236,163800,24,
237,163800,33,
238,163800,23,
239,163800,29,
240,163800,21,
241,163800,27,
242,163800,24,
243,163800,20,
244,163800,27,
245,163800,25,
246,163800,24,
247,163800,22,
248,163800,17,
249,163800,21,
250,163800,20,
251,163800,15,
252,163800,20,
253,163800,19,
254,163800,16,
255,163800,15,
256,163800,18,
257,163800,14,
258,163800,17,
259,163800,16,
260,163800,12,
261,163800,14,
262,163800,17,
263,163800,13,
264,163800,17,
265,163800,16,
266,163800,11,
267,163800,13,
268,163800,11,
269,163800,10,
270,163800,10,
271,163800,11,
272,163800,15,
273,163800,9,
274,163800,13,
275,163800,11,
276,163800,10,
277,163800,8,
278,163800,10,
279,163800,8,
280,163800,10,
281,163800,7,
282,163800,7,
283,163800,6,
284,163800,10,
285,163800,8,
286,163800,7,
287,163800,5,
288,163800,7,
289,163800,5,
290,163800,5,
291,163800,6,
292,163800,5,
293,163800,5,
294,163800,4,
295,163800,4,
296,163800,5,
297,163800,5,
298,163800,3,
299,163800,4,
300,163800,3,
301,163800,2,
302,163800,4,
303,163800,3,
304,163800,2,
305,163800,3,
306,163800,2,
307,163800,1,
308,163800,1,
309,163800,1,
