Partial Array Size, Num Rows, Num Uncov Int, Num edges, Max Deg, Min Deg, Num Extra Rows
6500,6902,3688,5148547,3056,2564,402
6505,6916,3724,5260404,3060,2609,411
6510,6919,3648,5058181,3002,2558,409
6515,6918,3625,4995352,2980,2602,403
6520,6911,3529,4715932,2886,2400,391
6525,6932,3638,5020980,2966,2526,407
6530,6921,3412,4417532,2786,2374,391
6535,6938,3367,4308659,2718,2373,403
6540,6944,3560,4803416,2963,2501,404
6545,6936,3531,4724806,2905,2390,391
6550,6943,3387,4351434,2745,2394,393
6555,6928,3235,3981776,2645,2309,373
6560,6950,3399,4388160,2786,2380,390
6565,6940,3134,3732130,2569,2210,375
6570,6955,3359,4288059,2737,2371,385
6575,6958,3378,4334544,2766,2388,383
6580,6965,3258,4030566,2652,2268,385
6585,6947,3135,3729581,2574,2208,362
6590,6958,3155,3766651,2589,2179,368
6595,6967,3295,4117806,2695,2262,372
6600,6990,3222,3951124,2625,2268,390
6605,6967,3086,3609041,2573,2154,362
6610,6979,3149,3767148,2576,2214,369
6615,6996,3174,3820664,2594,2186,381
6620,6982,3101,3648959,2554,2159,362
6625,7006,3125,3710231,2529,2197,381
6630,6991,2932,3264163,2413,2074,361
6635,6992,3079,3601733,2531,2157,357
6640,6989,2833,3048961,2304,1970,349
6645,6993,2997,3408277,2454,2114,348
6650,7008,2914,3225650,2385,2052,358
6655,7012,2818,3017560,2311,1973,357
6660,7022,2985,3378721,2433,2068,362
6665,7018,2948,3301271,2420,2068,353
6670,7032,2953,3322024,2390,2112,362
6675,7018,2895,3184518,2370,2069,343
6680,7022,2862,3116797,2307,2052,342
6685,7045,2882,3155560,2357,2020,360
6690,7048,2873,3133745,2333,2016,358
6695,7031,2799,2975916,2275,1980,336
6700,7041,2727,2826321,2234,1905,341
6705,7043,2805,2985011,2276,1975,338
6710,7039,2611,2591319,2140,1833,329
6715,7050,2674,2719187,2165,1905,335
6720,7054,2623,2618705,2166,1864,334
6725,7047,2529,2431751,2070,1799,322
6730,7060,2700,2763974,2204,1906,330
6735,7068,2589,2547350,2100,1834,333
6740,7070,2664,2695878,2181,1857,330
6745,7073,2585,2533877,2109,1827,328
6750,7087,2578,2524110,2094,1809,337
6755,7065,2296,2003457,1861,1602,310
6760,7095,2514,2397179,2051,1742,335
6765,7102,2568,2503322,2086,1812,337
6770,7101,2527,2432339,2064,1806,331
6775,7087,2520,2406157,2072,1734,312
6780,7086,2353,2099257,1923,1641,306
6785,7094,2402,2189828,1963,1665,309
6790,7098,2487,2348403,2014,1742,308
6795,7112,2472,2309647,2024,1708,317
6800,7103,2374,2140815,1928,1683,303
6805,7116,2383,2156779,1934,1671,311
6810,7112,2354,2107561,1917,1670,302
6815,7128,2445,2262546,1992,1705,313
6820,7126,2418,2213885,1988,1684,306
6825,7132,2354,2101405,1915,1630,307
