Partial Array Size, Num Uncov Int, Num Edges
6000,7415,20893469
6000,7355,20561544
6000,7362,20605499
6000,7192,19662851
6000,7616,22042612
6000,7213,19788247
6000,7761,22890211
6000,7500,21398164
6000,7664,22327836
6000,7501,21395349
6005,7348,20501100
6005,7460,21093772
6005,7574,21736039
6005,7149,19445573
6005,7259,20005605
6005,7349,20492329
6005,7191,19676243
6005,7299,20248259
6005,7586,21831412
6005,7724,22648011
6010,7046,18893978
6010,7340,20455825
6010,7465,21147605
6010,7637,22073830
6010,7360,20551948
6010,7358,20465138
6010,7572,21750958
6010,7085,19029889
6010,7474,21173911
6010,7169,19520559
6015,7283,20164662
6015,7363,20571940
6015,7467,21154166
6015,7354,20544693
6015,6590,16519637
6015,7461,21137641
6015,7369,20545533
6015,7455,21050537
6015,7303,20275573
6015,7273,20071701
6020,7129,19324939
6020,7517,21425299
6020,7659,22306127
6020,7107,19182612
6020,7499,21321809
6020,7186,19625222
6020,7656,22229667
6020,7487,21315284
6020,7080,18986880
6020,6942,18317391
6025,7258,19987862
6025,7221,19775006
6025,7228,19836964
6025,7193,19657043
6025,7366,20651083
6025,6868,17886432
6025,7082,19082465
6025,7391,20712487
6025,7195,19635668
6025,7135,19328859
6030,6730,17230846
6030,7193,19709895
6030,7104,19188894
6030,6984,18507164
6030,7152,19452167
6030,7049,18921890
6030,7327,20381938
6030,6953,18321206
6030,7610,21960477
6030,7118,19235383
6035,6967,18444899
6035,7330,20330160
6035,6970,18464039
6035,7088,19060532
6035,6875,17940624
6035,7037,18796274
6035,7035,18838404
6035,7071,19047363
6035,6849,17805388
6035,7375,20595618
6040,7060,18907658
6040,7367,20605418
6040,7104,19114289
6040,6779,17462715
6040,6891,18020891
6040,7371,20559794
6040,7585,21689843
6040,7280,20115568
6040,7325,20276472
6040,7227,19813526
6045,6933,18265361
6045,7074,18965228
6045,6807,17607990
6045,6688,16968870
6045,6654,16820041
6045,7171,19522385
6045,7175,19590749
6045,7063,18918616
6045,7213,19737263
6045,6983,18567860
6050,7310,20256812
6050,6867,17863788
6050,7054,18867620
6050,6532,16254234
6050,7262,19975630
6050,6634,16736274
6050,6469,15929853
6050,7095,19098982
6050,6775,17387935
6050,7228,19816583
6055,6457,15818698
6055,6831,17714634
6055,7216,19790649
6055,6977,18440912
6055,6667,16866526
6055,6906,18120872
6055,7045,18852133
6055,7235,19845042
6055,7287,20140656
6055,7229,19807641
6060,6731,17239718
6060,6768,17399381
6060,7001,18606348
6060,7181,19522602
6060,6697,17059272
6060,7004,18637902
6060,6951,18387825
6060,6933,18251405
6060,6792,17487529
6060,7644,22130823
6065,6929,18248434
6065,6736,17189397
6065,7197,19653302
6065,6721,17153780
6065,6615,16636641
6065,7077,18968920
6065,6560,16311688
6065,6856,17808444
6065,6955,18385086
6065,6788,17443989
6070,6704,17026355
6070,6606,16585963
6070,7007,18614203
6070,7285,20127920
6070,6964,18406483
6070,6465,15887239
6070,6323,15224267
6070,6679,16960207
6070,6811,17638897
6070,6895,18057814
6075,6936,18289788
6075,6268,14923975
6075,7080,18999661
6075,6884,18036097
6075,6786,17456418
6075,6607,16608143
6075,6603,16554983
6075,6388,15521986
6075,6477,15979092
6075,6917,18148496
6080,6575,16390653
6080,6418,15622269
6080,6358,15354620
6080,6165,14452587
6080,6612,16612704
6080,6233,14791661
6080,7033,18758170
6080,6664,16848342
6080,6818,17614115
6080,7400,20739390
6085,6515,16106174
6085,6967,18427207
6085,6725,17186593
6085,6341,15278361
6085,6285,15014605
6085,6780,17446538
6085,6191,14575279
6085,6268,14935944
6085,6647,16769271
6085,6280,15001563
6090,6756,17340417
6090,6676,16949151
6090,6389,15518576
6090,6269,14927821
6090,6564,16367294
6090,6498,16014568
6090,6627,16701519
6090,6892,17983412
6090,6669,16874305
6090,6559,16344412
6095,6343,15300298
6095,6502,16054262
6095,6395,15544122
6095,6653,16726118
6095,6947,18283201
6095,6458,15858514
6095,6309,15168824
6095,6531,16202250
6095,6500,16070798
6095,6811,17640996
6100,6625,16692158
6100,6533,16214806
6100,6532,16232112
6100,6558,16293085
6100,6847,17814996
6100,6272,14891999
6100,6543,16283051
6100,6276,14943004
6100,6455,15782684
6100,6251,14864372
6105,6204,14634219
6105,6495,15980287
6105,6768,17295176
6105,6209,14685922
6105,6312,15116746
6105,6728,17177424
6105,6357,15350774
6105,6382,15468805
6105,6583,16503241
6105,6676,16899865
6110,6375,15437292
6110,6116,14179638
6110,6134,14304044
6110,6674,16922864
6110,6610,16548690
6110,6247,14817427
6110,6634,16724226
6110,6441,15719899
6110,6631,16687538
6110,6744,17189211
6115,6261,14895868
6115,6395,15540061
6115,6271,14921288
6115,6425,15672872
6115,6296,15025164
6115,7229,19678147
6115,6403,15534047
6115,5816,12840435
6115,6307,15122694
6115,6737,17168883
6120,6004,13712997
6120,6280,14959575
6120,6385,15496176
6120,6663,16840969
6120,6674,16919591
6120,6635,16693908
6120,6536,16151400
6120,6644,16718021
6120,6145,14308620
6120,6407,15597741
6125,6139,14311103
6125,6276,14967639
6125,6862,17837692
6125,6035,13861507
6125,5969,13572662
6125,6167,14441687
6125,6240,14775906
6125,6046,13893350
6125,6067,13949885
6125,6066,13980058
6130,5957,13467546
6130,6165,14440134
6130,6411,15619946
6130,6346,15287011
6130,6394,15508914
6130,6406,15572300
6130,6545,16188108
6130,6150,14378133
6130,6475,15915388
6130,6422,15620970
6135,6175,14474546
6135,6063,13980747
6135,6229,14730393
6135,6081,14041533
6135,6578,16448559
6135,6042,13877764
6135,6289,15018241
6135,6391,15489872
6135,6178,14487025
6135,6290,15023663
6140,5904,13205782
6140,6296,15062626
6140,6464,15819863
6140,6106,14134606
6140,6223,14716412
6140,6325,15118885
6140,6281,14945166
6140,6109,14169238
6140,6198,14599605
6140,5878,13091128
6145,5922,13302719
6145,5908,13260604
6145,6197,14607177
6145,6100,14153714
6145,6686,16917826
6145,5834,12912097
6145,5840,12978179
6145,5964,13513073
6145,6367,15363358
6145,6490,15979126
6150,6049,13894927
6150,6298,14974005
6150,6117,14217964
6150,5865,13056693
6150,5963,13517326
6150,6221,14687801
6150,6168,14461154
6150,6266,14965252
6150,6038,13811545
6150,5927,13320696
6155,5962,13513301
6155,5993,13623212
6155,5781,12711829
6155,6387,15416872
6155,6253,14841114
6155,5804,12805689
6155,6372,15425916
6155,5735,12476366
6155,5859,13021814
6155,5833,12896021
6160,5851,13016119
6160,6342,15204769
6160,6309,15079304
6160,5940,13390091
6160,5985,13583874
6160,6185,14544180
6160,5666,12211585
6160,6241,14770860
6160,5563,11787848
6160,5830,12902700
6165,5801,12778400
6165,6008,13669818
6165,5963,13505385
6165,5864,13079267
6165,5951,13427406
6165,5782,12708732
6165,5767,12656380
6165,5624,12018778
6165,5891,13164112
6165,6150,14364678
6170,5798,12748316
6170,6339,15207530
6170,6061,13930434
6170,6417,15612512
6170,5680,12267325
6170,5909,13281014
6170,5838,12924908
6170,5892,13120001
6170,5790,12678239
6170,5634,12070889
6175,5984,13560742
6175,5943,13390657
6175,5937,13348950
6175,5684,12296976
6175,5671,12231873
6175,5835,12923599
6175,6052,13881352
6175,5844,12970124
6175,5798,12732656
6175,5762,12598545
6180,5903,13223394
6180,5611,11979355
6180,6058,13889261
6180,5943,13421267
6180,6317,15157656
6180,5803,12801124
6180,5997,13649169
6180,5903,13204518
6180,6282,14938792
6180,6029,13784276
6185,5403,11099151
6185,6026,13776472
6185,5632,12007512
6185,5659,12152535
6185,5653,12133882
6185,5612,11981391
6185,5589,11870225
