k, Density, CEI-Sampledf10, CEI-Sampledf100, CEI-Sampledf1000
15, 55, 74, 55, 52
16, 59, 76, 61, 54
17, 58, 79, 60, 57
18, 62, 83, 62, 57
19, 64, 91, 67, 66
20, 66, 95, 66, 66
21, 67, 102, 70, 67
22, 69, 106, 71, 67
23, 70, 116, 72, 72
24, 71, 119, 79, 73
25, 72, 130, 79, 75
26, 75, 134, 82, 74
27, 74, 150, 82, 76
28, 76, 149, 83, 78
29, 79, 164, 86, 79
30, 79, 187, 85, 80
31, 80, 221, 89, 81
32, 81, 202, 93, 82
33, 83, 205, 93, 81
34, 84, 225, 95, 85
35, 84, 229, 95, 84
36, 85, 243, 103, 86
37, 86, 275, 105, 87
38, 87, 302, 105, 88
39, 89, 330, 110, 88
40, 91, 338, 107, 91
41, 90, 372, 112, 92
42, 91, 399, 113, 92
43, 92, 450, 112, 93
44, 92, 453, 120, 95
45, 93, 462, 114, 95
46, 95, 448, 122, 97
47, 95, 548, 119, 97
48, 96, 618, 125, 98
49, 99, 592, 131, 98
50, 97, 722, 131, 100
51, 98, 760, 131, 101
52, 98, 783, 133, 99
k, Density, CEI-Sampledf10, CEI-Sampledf100, CEI-Sampledf1000
k, Density, CEI-Sampledf10, CEI-Sampledf100, CEI-Sampledf1000
53, 100, 843, 147, 101
54, 100, 896, 149, 104
55, 101, 928, 145, 103
56, 101, 1010, 147, 107
57, 102, 1037, 143, 106
58, 105, 1136, 148, 107
59, 103, 1238, 163, 108
60, 103, 1323, 165, 111
61, 104, 1372, 156, 111
62, 105, 1327, 161, 109
63, 107, 1459, 153, 111
64, 107, 1552, 176, 112
65, 107, 1683, 186, 111
66, 109, 1752, 194, 112
67, 110, 1793, 189, 113
68, 109, 2003, 174, 113
69, 111, 2137, 196, 118
70, 112, 2101, 191, 117
