k, Density, CEI-Sampledf10, CEI-Sampledf100, CEI-Sampledf1000
15, 55, 73, 62, 58
16, 59, 75, 63, 59
17, 58, 91, 65, 59
18, 62, 95, 73, 61
19, 64, 98, 71, 64
20, 66, 107, 74, 63
21, 67, 104, 75, 67
22, 69, 128, 81, 68
23, 70, 138, 74, 71
24, 71, 124, 84, 71
25, 72, 157, 82, 73
26, 75, 152, 88, 74
27, 74, 167, 89, 79
28, 76, 179, 90, 80
29, 79, 188, 97, 80
30, 79, 207, 95, 83
k, Density, CEI-Sampledf10, CEI-Sampledf100, CEI-Sampledf1000
31, 79, 222, 102, 86
32, 82, 228, 100, 86
33, 83, 224, 99, 86
34, 82, 252, 107, 86
35, 85, 304, 105, 91
36, 86, 296, 119, 87
37, 85, 325, 114, 90
38, 87, 296, 117, 92
39, 89, 344, 122, 93
40, 89, 370, 115, 94
41, 89, 416, 122, 98
42, 91, 458, 124, 97
43, 92, 456, 131, 97
44, 92, 464, 135, 99
45, 93, 487, 134, 100
46, 94, 539, 133, 101
47, 94, 534, 135, 104
48, 95, 650, 142, 104
49, 96, 618, 138, 106
50, 97, 645, 151, 103
51, 99, 729, 146, 103
52, 99, 786, 148, 110
53, 99, 815, 146, 109
54, 100, 840, 166, 111
55, 102, 928, 154, 110
56, 101, 938, 161, 109
57, 102, 964, 176, 112
58, 103, 1142, 172, 111
59, 104, 1293, 178, 118
60, 103, 1300, 154, 115
61, 106, 1398, 182, 115
62, 105, 1391, 183, 116
63, 106, 1564, 186, 120
64, 106, 1669, 205, 122
65, 108, 1718, 189, 118
66, 109, 1818, 190, 119
67, 109, 2065, 208, 120
68, 111, 2056, 212, 119
69, 111, 2140, 227, 123
