k, MTPermutationVector
12, 588217
13, 588217
14, 705859
15, 705859
16, 705859
17, 705859
18, 823501
19, 823501
20, 823501
21, 823501
22, 823501
23, 823501
24, 941143
25, 941143
26, 941143
27, 941143
28, 941143
29, 941143
30, 941143
k, MTPermutationVector
31, 941143
32, 1058785
33, 1058785
34, 1058785
35, 1058785
36, 1058785
37, 1058785
38, 1058785
39, 1058785
40, 1058785
41, 1058785
42, 1058785
43, 1176427
44, 1176427
45, 1176427
46, 1176427
47, 1176427
48, 1176427
49, 1176427
50, 1176427
51, 1176427
52, 1176427
53, 1176427
54, 1176427
55, 1176427
56, 1176427
57, 1176427
58, 1176427
59, 1176427
60, 1294069
61, 1294069
62, 1294069
63, 1294069
64, 1294069
65, 1294069
66, 1294069
67, 1294069
68, 1294069
69, 1294069
70, 1294069
71, 1294069
72, 1294069
73, 1294069
74, 1294069
75, 1294069
76, 1294069
77, 1294069
78, 1294069
79, 1294069
80, 1294069
81, 1294069
82, 1294069
83, 1411711
84, 1411711
85, 1411711
86, 1411711
87, 1411711
88, 1411711
89, 1411711
90, 1411711
91, 1411711
92, 1411711
93, 1411711
94, 1411711
95, 1411711
96, 1411711
97, 1411711
98, 1411711
99, 1411711
100, 1411711
